station_name,lat_wgs84,lon_wgs84,n_modes,modal_shannon,modes,has_longdist,has_boat,has_metro,has_funicular,has_narrow_gauge,has_tram,has_shared_bikes,religious_shannon,station_richness_1000m,trains_per_hour,note
La Conversion,46.513087,6.678307,1,0.0,CFF_regional,0,0,0,0,0,0,0,0.0,6,4.0,Minimal Lavaux halt
La Tour-de-Peilz,46.455457,6.859523,2,0.693,CFF_regional|urban_bus,0,0,0,0,0,0,0,1.273,28,4.0,VMCV bus
Lancy-Bachet,46.174342,6.12934,6,1.792,CFF_regional|CFF_longdist|leman_express|tram|urban_bus|shared_bikes,1,0,0,0,0,1,1,1.277,5,12.5,Intermodal hub. TPG tram 15
Lancy-Pont-Rouge,46.18596,6.124929,5,1.609,CFF_regional|leman_express|tram|urban_bus|shared_bikes,0,0,0,0,0,1,1,1.33,11,12.0,"TPG tram 15, Léman Express"
Lausanne,46.516795,6.629087,8,2.079,CFF_regional|CFF_longdist|metro|urban_bus|regional_bus|CGN_boat|funicular|shared_bikes,1,1,1,1,0,0,1,1.955,250,28.5,M2 metro. TL bus. CGN Ouchy. PubliBike
Lausanne-Flon,46.520798,6.63033,3,1.099,metro|urban_bus|shared_bikes,0,0,1,0,0,0,1,1.943,277,4.0,M1+M2 interchange. TL bus
Lonay-Préverenges,46.523141,6.519527,1,0.0,CFF_regional,0,0,0,0,0,0,0,0.673,7,4.0,Minimal halt
Mies,46.298503,6.167641,1,0.0,CFF_regional,0,0,0,0,0,0,0,0.0,4,8.0,Minimal halt
Montreux,46.435887,6.910425,7,1.946,CFF_regional|CFF_longdist|urban_bus|narrow_gauge|CGN_boat|funicular|shared_bikes,1,1,0,1,1,0,1,1.237,54,16.0,IR. MOB. VMCV. CGN. Funicular Glion
Morges,46.511102,6.493958,5,1.609,CFF_regional|CFF_longdist|regional_bus|CGN_boat|shared_bikes,1,1,0,0,0,0,1,1.359,57,16.0,IR stop. MBC bus hub. CGN
Nyon,46.384429,6.23595,6,1.792,CFF_regional|CFF_longdist|regional_bus|narrow_gauge|CGN_boat|shared_bikes,1,1,0,0,1,0,1,1.54,57,14.5,IR stop. NStCM. CGN. PubliBike
Palézieux,46.542766,6.83786,2,0.693,CFF_regional|regional_bus,0,0,0,0,0,0,0,0.0,0,11.5,Junction station
"Perroy, Couronnette",46.463879,6.352911,1,0.0,CFF_regional,0,0,0,0,0,0,0,0.0,3,3.0,Minimal halt
"Prangins, Les Abériaux",46.393015,6.254119,2,0.693,CFF_regional|regional_bus,0,0,0,0,0,0,0,0.0,4,5.5,Bus to Prangins
Prilly-Malley,46.526697,6.602624,2,0.693,CFF_regional|urban_bus,0,0,0,0,0,0,0,1.517,21,9.0,TL bus
Puidoux,46.493838,6.76568,2,0.693,CFF_regional|regional_bus,0,0,0,0,0,0,0,0.0,4,6.0,Junction to Fribourg
Renens VD,46.537046,6.57892,6,1.792,CFF_regional|CFF_longdist|metro|regional_bus|urban_bus|shared_bikes,1,0,1,0,0,0,1,0.898,15,26.5,M1 metro. TL bus. IR stop
Rivaz,46.474211,6.784583,1,0.0,CFF_regional,0,0,0,0,0,0,0,0.693,2,3.5,"Minimal, 3.5 tr/hr"
Rolle,46.462757,6.336387,3,1.099,CFF_regional|regional_bus|CGN_boat,0,1,0,0,0,0,0,0.5,26,4.5,CGN stop. CarPostal
St-Prex,46.482324,6.455897,2,0.693,CFF_regional|regional_bus,0,0,0,0,0,0,0,0.562,13,4.0,MBC bus
"St-Saphorin (Lavaux), gare",46.472696,6.79809,0,0.0,,0,0,0,0,0,0,0,0.0,1,0.0,"Ghost station, 0 tr/hr"
Tannay,46.307659,6.181097,1,0.0,CFF_regional,0,0,0,0,0,0,0,0.0,3,8.0,Minimal halt
Territet,46.426381,6.922695,2,0.693,CFF_regional|funicular,0,0,0,1,0,0,0,0.637,12,2.0,Funicular Glion-Rochers-de-Naye
"Vernier, Blandonnet",46.221936,6.097217,4,1.386,CFF_regional|leman_express|tram|urban_bus,0,0,0,0,0,1,0,1.55,7,84.0,"TPG tram 14, Léman Express"
Versoix,46.279741,6.165718,3,1.099,CFF_regional|urban_bus|shared_bikes,0,0,0,0,0,0,1,0.562,23,8.0,TPG bus 25
Vevey,46.463002,6.84343,7,1.946,CFF_regional|CFF_longdist|urban_bus|regional_bus|CGN_boat|funicular|shared_bikes,1,1,0,1,0,0,1,1.731,75,20.0,IR. VMCV. CGN. Funicular Chardonne
Villeneuve VD,46.398369,6.926992,3,1.099,CFF_regional|regional_bus|CGN_boat,0,1,0,0,0,0,0,0.451,27,8.0,End lakeside. CGN. Bus
