nom,commune,canton,type,unite_pastorale,adresse,E_LV95,N_LV95
"Paroisse de Vésenaz","Vésenaz",GE,Paroisse,"–","Route d'Hermance 75, 1222 Vésenaz",2504247.9,1119864.9
"Paroisse de Saint-Paul","Cologny",GE,Paroisse,"–","Chemin du Vallon 5, 1223 Cologny",2502961.2,1119029.4
"Paroisse de Corsier-Anières (Saint Jean-Baptiste)","Corsier",GE,Paroisse,"–","Route de Corsier 79, 1246 Corsier",2504754.4,1120668.5
"Paroisse d'Hermance","Hermance",GE,Paroisse,"–","Grand-Rue 16, 1248 Hermance",2507300.2,1128177.9
"Paroisse de Collonge-Bellerive","Collonge-Bellerive",GE,Paroisse,"–","Route de Thonon 101, 1245 Collonge-Bellerive",2505688.3,1123155.4
"Paroisse de Chêne-Thônex (St-François de Sales)","Chêne-Thônex",GE,Paroisse,"–","Chemin des Palettes 3, 1226 Thônex",2504242.6,1116607.5
"Paroisse de Meinier-Gy-Jussy","Meinier",GE,Paroisse,"–","Route de Jussy 9, 1252 Meinier",2506887.2,1120879.9
"Paroisse Saint-Robert (Founex / Terre Sainte)","Founex",VD,Paroisse,"Nyon – Terre Sainte","Route Suisse 1, 1297 Founex",2500060.8,1132629.5
"Communauté catholique de Gland (St-Jean-Baptiste)","Gland",VD,Communauté,"Nyon – Terre Sainte","Rue de la Colombière 2, 1196 Gland",2510119.0,1141498.8
"Communauté catholique de Begnins","Begnins",VD,Communauté,"Nyon – Terre Sainte","1268 Begnins",2506801.4,1135790.2
"Paroisse Notre-Dame de Nyon","Nyon",VD,Paroisse,"Nyon – Terre Sainte","Rue de la Colombière 18, 1260 Nyon",2507380.5,1137415.6
"Paroisse Notre-Dame d'Aubonne","Aubonne",VD,Paroisse,"La Venoge – L'Aubonne","Chapelle ND, Route du Vieux-Moulin 4, 1170 Aubonne",2520022.3,1150186.5
"Paroisse Saint-Joseph de Rolle","Rolle",VD,Paroisse,"La Venoge – L'Aubonne","Ruelle des Halles 1, 1180 Rolle",2515521.4,1145678.7
"Paroisse Saint-François de Préverenges","Préverenges",VD,Chapelle,"La Venoge – L'Aubonne","Route d'Yverdon 14, 1028 Préverenges",2526488.8,1151615.9
"Paroisse Saint-Prex","Saint-Prex",VD,Paroisse,"La Venoge – L'Aubonne","Rue des Marronniers 2, 1162 Saint-Prex",2524496.7,1148227.5
"Paroisse Saint-François de Sales (Morges)","Morges",VD,Paroisse,"La Venoge – L'Aubonne","Rue du Temple 4, 1110 Morges",2527927.4,1151253.8
"Chapelle Saint-Dominique de La Longeraie (Morges)","Morges",VD,Chapelle,"La Venoge – L'Aubonne","Chemin de La Longeraie 9, 1110 Morges",2528339.5,1151693.6
"Paroisse Saint-Joseph (Lausanne/Prélaz)","Lausanne",VD,Paroisse,"Prilly – Prélaz","Avenue de Morges 66, 1004 Lausanne",2537084.2,1152685.2
"Paroisse Bon-Pasteur (Prilly)","Prilly",VD,Paroisse,"Prilly – Prélaz","Avenue de la Gottettaz 1, 1008 Prilly",2535800.1,1153165.7
"Basilique Notre-Dame du Valentin (Lausanne)","Lausanne",VD,Paroisse/Basilique,"Notre-Dame Lausanne","Rue du Valentin 3, 1004 Lausanne",2538241.0,1152495.3
"Paroisse Saint-Amédée (Lausanne/Bellevaux)","Lausanne",VD,Paroisse,"Notre-Dame Lausanne","Route du Pavement 97, 1018 Lausanne",2539263.0,1154908.4
"Paroisse Saint-André (Lausanne/Bois-Gentil)","Lausanne",VD,Paroisse,"Notre-Dame Lausanne","Chemin du Bois-Gentil 9, 1018 Lausanne",2538796.6,1155057.7
"Paroisse Saint-Esprit (Lausanne)","Lausanne",VD,Paroisse,"Notre-Dame Lausanne","Chemin du Boisy 21, 1004 Lausanne",2537755.4,1153034.0
"Paroisse du Sacré-Cœur d'Ouchy (Lausanne)","Lausanne",VD,Paroisse,"Lausanne-Lac","Chemin de Beau-Rivage 3, 1006 Lausanne",2538225.5,1150983.6
"Paroisse Sainte-Thérèse (Lausanne/Chailly)","Lausanne",VD,Paroisse,"Lausanne-Lac","Avenue de Chailly 38, 1012 Lausanne",2539952.5,1154056.6
"Paroisse Saint-Étienne (Lausanne)","Lausanne",VD,Paroisse,"Lausanne-Nord","Chemin du Couchant 15, 1007 Lausanne",2536508.9,1151979.7
"Paroisse Saint-Nicolas (Lausanne)","Lausanne",VD,Paroisse,"Lausanne-Nord","Avenue de Morges 12, 1004 Lausanne",2536444.9,1152458.5
"Paroisse Saint-François-d'Assise (Renens)","Renens",VD,Paroisse,"Renens – Bussigny","Avenue Eglise catholique 2b, 1020 Renens",2534508.3,1154324.7
"Paroisse Saint-Rédempteur (Lausanne)","Lausanne",VD,Paroisse,"L'Orient","Rue Orient-Ville 16, 1005 Lausanne",2538527.3,1152725.8
"Paroisse Saint-Maurice (Pully)","Pully",VD,Paroisse,"L'Orient","Place du Prieuré 3, 1009 Pully",2540461.4,1151216.7
"Paroisse Saint-Martin (Lutry – Paudex)","Lutry",VD,Paroisse,"L'Orient","Route de Lavaux 17, 1095 Lutry",2542044.9,1150656.5
"Paroisse Notre-Dame (Cully – Bourg-en-Lavaux)","Cully",VD,Paroisse,"L'Orient","Chemin de Clos-Besson 1, 1096 Cully",2545558.5,1149578.6
"Paroisse Notre-Dame (Vevey – rive est)","Vevey",VD,Paroisse,"Grand-Vevey","Rue des Chenevières 10, 1800 Vevey",2554721.4,1145989.7
"Paroisse Saint-Jean (Vevey – rive ouest)","Vevey",VD,Paroisse,"Grand-Vevey","Rue de Fribourg 34, 1800 Vevey",2553690.7,1145819.7
"Communauté catholique de Blonay – Saint-Légier","Blonay",VD,Communauté,"Grand-Vevey","Ch. du Lacuez 4, 1807 Blonay",2556490.8,1144220.2
"Communauté catholique de Chardonne – Jongny","Chardonne",VD,Communauté,"Grand-Vevey","Chardonne, 1803 Chardonne",2556200.8,1146612.4
"Communauté catholique de Chexbres – Puidoux","Chexbres",VD,Communauté,"Grand-Vevey","Chexbres, 1071 Chexbres",2549371.4,1148333.6
"Paroisse des Bosquets de Julie (Clarens)","Clarens",VD,Paroisse,"Riviera – Pays-d'Enhaut","Avenue des Bosquets de Julie 67, 1815 Clarens",2557946.9,1143676.2
"Paroisse Bon-Secours (Montreux)","Montreux",VD,Paroisse,"Riviera – Pays-d'Enhaut","Avenue Nestlé 15, 1820 Montreux",2559413.2,1142309.9
"Paroisse du Sacré-Cœur (Villeneuve – Veytaux)","Villeneuve",VD,Paroisse,"Riviera – Pays-d'Enhaut","Route du Lac 6, 1844 Villeneuve",2561029.1,1137830.3
