id,name,hub_type,sub_type,municipality,canton,address,lat_wgs84,lon_wgs84,E_LV95,N_LV95,frequency,source,farm_supply_potential,notes
28,Coop Supermarché Cully,Supermarket,Village supermarket,Cully,VD,"Rue de la Gare 3, 1096 Bourg-en-Lavaux",46.488166,6.728688,2549600,1149770,Daily,Google Places,HIGH,Lavaux UNESCO zone village; key local supply node; wine tourism; serves vinegrowers community
29,Place du Marché Vevey (Grande Place),Weekly Market,Major open-air food market,Vevey,VD,"Grande Place, 1800 Vevey",46.459748,6.842220,2558930,1146540,Tue & Sat,Google Places,HIGH,One of Switzerland's iconic markets; large scale; Tue and Sat; key regional produce hub
30,Coop Supermarché Vevey,Supermarket,Large-format supermarket,Vevey,VD,"Rue du Simplon 28, 1800 Vevey",46.460365,6.845039,2559200,1146620,Daily,Google Places,HIGH,Main Vevey supermarket; strong Riviera residential catchment
31,MANOR Vevey (Manor Food),Department Store / Food Hall,Department store with food basement,Vevey,VD,"Av. du Général-Guisan 1, 1800 Vevey",46.463024,6.841132,2558810,1146910,Daily,Google Places,HIGH,Vevey main commercial anchor; food floor in basement; high footfall; tourism nexus
32,Coop Pronto Vevey Gare,Convenience Store,Train station convenience,Vevey,VD,"Pl. de la Gare 5, 1800 Vevey",46.463071,6.842786,2558980,1146920,Daily (extended),Google Places,LOW,Station convenience; large commuter flow; limited local produce but high visibility
33,Ratatouille L'Epicerie Vevey,Specialty Grocer,Artisan fruit & vegetable epicerie,Vevey,VD,"Rue des Deux-Marchés 30, 1800 Vevey",46.460232,6.843599,2559060,1146650,Tue–Sat,Google Places,HIGH,Premium local produce grocer; explicitly stocks regional fruits and vegetables; ideal farm partner
34,Marché Riviera Selimi Vevey,Independent Grocery,Daily neighbourhood market,Vevey,VD,"Av. du Général-Guisan 58, 1800 Vevey",46.466556,6.836913,2558430,1147300,Daily (incl. Sun),Google Places,MEDIUM,Open daily including Sunday; lakeshore boulevard; local and international produce
35,Marché de La Tour-de-Peilz,Weekly Market,Saturday morning market,La Tour-de-Peilz,VD,"Pl. des Anciens-Fossés 1, 1814 La Tour-de-Peilz",46.453214,6.857660,2560300,1145850,Saturday mornings,Google Places,HIGH,Charming lakeside weekly market between Vevey and Montreux; local food focus
36,Marché Couvert Montreux,Market Hall / Event Market,Covered market hall,Montreux,VD,"Pl. du Marché, 1820 Montreux",46.432295,6.909744,2564800,1143540,Fri & event-based,Google Places,MEDIUM,Historic covered market on the lakefront; Friday market and events; high tourism footfall
37,Coop Supermarché Montreux,Supermarket,Large-format supermarket,Montreux,VD,"Rue de la Paix 4, 1820 Montreux",46.431664,6.911436,2564960,1143470,Daily,Google Places,HIGH,Main Montreux supermarket; underground parking; serves Riviera tourist and residential base
38,Coop Pronto Montreux Gare,Convenience Store,Train station convenience,Montreux,VD,"Av. des Alpes 80, 1820 Montreux",46.436585,6.909723,2564810,1144020,Daily (extended),Google Places,LOW,Station convenience; tourist throughput; basic fresh offer
39,migrolino Montreux,Convenience Store,Train station / street convenience,Montreux,VD,"Av. des Alpes 74, 1820 Montreux",46.436137,6.910259,2564860,1143970,Daily (extended),Google Places,LOW,Extended hours; tourist corridor; convenience fresh food niche
40,Marché Hebdomadaire Villeneuve,Weekly Market,Saturday open-air market,Villeneuve,VD,"Av. des Comtes de Savoie 2, 1844 Villeneuve",46.399736,6.926640,2566450,1140110,Saturday mornings,Google Places,HIGH,Eastern terminus market; Chablais gateway; local food + flea; strong Chablais farm connection potential
41,Coop Supermarché Villeneuve,Supermarket,Large-format supermarket,Villeneuve,VD,"Rue du Collège 2, 1844 Villeneuve",46.398110,6.925609,2566350,1139930,Daily,Google Places,HIGH,Main Villeneuve supermarket; opposite train station; gateway to Chablais; local produce potential
42,Migros Noville,Supermarket,Roadside supermarket,Noville,VD,"Rte du Simplon, 1845 Noville",46.390520,6.921829,2566010,1139060,Daily,Google Places,HIGH,Between Villeneuve and Rennaz; Chablais plain; serves agricultural hinterland; local produce gap
43,Coop Supermarché Rennaz,Supermarket,Large-format supermarket,Rennaz,VD,"Pré-de-la-Croix 18, 1847 Rennaz",46.384215,6.924639,2566280,1138360,Daily,Google Places,HIGH,Recently renovated large Coop; Chablais gateway; strong local produce offer; fish counter
44,Chablais Centre Aigle (Migros),Shopping Mall / Supermarket,Regional shopping centre,Aigle,VD,"Chem. sous le Grand Pré 4, 1860 Aigle",46.317499,6.936018,2567300,1131260,Daily,Google Places,HIGH,Major regional mall for entire Chablais; Migros anchor; highest farm supply potential east of Montreux
45,Migros Aigle Gare,Supermarket,Station-adjacent supermarket,Aigle,VD,"Pl. de la Gare 5, 1860 Aigle",46.315774,6.964910,2569860,1131060,Daily,Google Places,HIGH,Train station Migros; Aigle transport hub; connects Chablais farms to transit passengers
46,Coop Pronto Aigle Gare,Convenience Store,Train station convenience,Aigle,VD,"Pl. de la Gare 1, 1860 Aigle",46.316947,6.963770,2569770,1131190,Daily (extended),Google Places,MEDIUM,Extended hours station store; Aigle rail node for Leysin / Villars mountain lines
47,Marché Hebdomadaire Nyon Rue de Rive,Weekly Market,Open-air food market (secondary node),Nyon,VD,"Rue de Rive 2, 1260 Nyon",46.384101,6.244763,2507630,1138340,Sat mornings,Google Places,HIGH,Secondary Nyon market node on lakeshore promenade; local seasonal produce and artisan food
