Station,E_CH1903,N_CH1903,lon_wgs84,lat_wgs84,Date,Profondeur_m,Temp_C,pH,O2_sat_pct,Secchi_m,Ptot_ugP_L,PO4_ugP_L,Ntot_ugN_L,NO3_ugN_L,NH4_ugN_L,SiO2_mg_L,Cl_mg_L,Chla_ug_L,Phyto_Bio_ug_L,Prod_Prim_ugC_L_h,Taxon_Dominant,Groupe_Fonctionnel,Indice_Brettum,Indice_Shannon,Notes
SHL2,545000,145000,6.5889,46.4525,2024-11-26,0-18,9.8,8.1,86,NA,NA,NA,NA,NA,NA,0.85,NA,1.8,312,1.95,Plagioselmis_spp,NA,NA,NA,Milieux_brasses_faible_luminosite
SHL2,545000,145000,6.5889,46.4525,2024-12-17,0-18,6.2,8.0,84,NA,NA,NA,NA,NA,NA,0.88,NA,2.0,298,2.15,Cyclotella_costei,NA,NA,NA,Phase_hivernale
SHL2,545000,145000,6.5889,46.4525,2024-Annee,0-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,1006,NA,NA,NA,4.25,2.3,Moyenne_annuelle
SHL2,545000,145000,6.5889,46.4525,2024-Annee,0-309,NA,NA,NA,NA,15.6,12.8,729,544,NA,0.82,10.9,NA,NA,NA,NA,NA,NA,NA,Concentrations_moyennes_ponderees
SHL2,545000,145000,6.5889,46.4525,2024-Annee,250-309,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,SiO2_profond_record
SHL2,545000,145000,6.5889,46.4525,2024-Annee,309,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O2_fond_sat_minimum
SHL2,545000,145000,6.5889,46.4525,2024-Mars-Mai,0-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA,2.12,NA,NA,NA,NA,Moyenne_saisonniere
SHL2,545000,145000,6.5889,46.4525,2024-Juin-Aout,0-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81,NA,3.41,NA,NA,NA,NA,Moyenne_saisonniere
SHL2,545000,145000,6.5889,46.4525,2024-Sept-Nov,0-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19,NA,2.64,NA,NA,NA,NA,Moyenne_saisonniere
SHL2,545000,145000,6.5889,46.4525,1973,0-309,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pic_eutrophisation_historique
SHL2,545000,145000,6.5889,46.4525,1980,0-309,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,6.8,2800,NA,NA,Lm,2.5,NA,Eutrophe_mauvais_etat
SHL2,545000,145000,6.5889,46.4525,1990,0-309,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,3.2,NA,Amelioration_progressive
SHL2,545000,145000,6.5889,46.4525,2000,0-309,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,4.8,1800,NA,NA,NA,3.8,NA,Re-oligotrophisation
SHL2,545000,145000,6.5889,46.4525,2010,0-309,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,4.0,2.6,Bon_etat_atteint
SHL2,545000,145000,6.5889,46.4525,2015,0-309,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,4.1,NA,Stabilisation
SHL2,545000,145000,6.5889,46.4525,2018,0-309,NA,NA,NA,NA,17.2,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,4.15,NA,Stabilisation_Chla
SHL2,545000,145000,6.5889,46.4525,2019,0-309,NA,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,4.18,NA,Production_basse
SHL2,545000,145000,6.5889,46.4525,2020,0-309,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,4.12,NA,Annee_COVID
SHL2,545000,145000,6.5889,46.4525,2021,0-309,NA,NA,NA,NA,16.8,NA,802,612,NA,NA,NA,4.2,NA,NA,NA,NA,4.15,NA,Ntot_eleve
SHL2,545000,145000,6.5889,46.4525,2022,0-309,NA,NA,NA,NA,17.3,NA,768,598,NA,NA,NA,3.9,NA,NA,NA,NA,4.18,NA,Valeurs_moyennes
SHL2,545000,145000,6.5889,46.4525,2023,0-309,NA,NA,NA,NA,16.9,13.0,702,570,NA,NA,10.8,4.1,NA,NA,NA,NA,4.20,NA,Annee_precedente
GE3,500500,130000,6.1436,46.2819,2024,0-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,1250,7.0,NA,NA,3.7,NA,Petit_Lac_plus_eutrophe
Objectif_CIPEL,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,4.0,NA,Seuil_a_respecter
Reference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,NA,Ecosysteme_non_impacte
Seuil_Limitation_P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Limitant_croissance_phyto
Seuil_Critique_P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Critique_croissance
Seuil_NO3_Suisse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ordonnance_protection_eaux
