Secteur,Type_Donnee,Annee,Profondeur_Min_m,Profondeur_Max_m,Distance_Berge_m,Espece_Dominante,Recouvrement_Pct_2009,Recouvrement_Pct_2019,Evolution,Richesse_Floristique,Statut_Conservation,Notes_Ecologiques
Espece,Potamogeton_x_nitens,2009,NA,NA,NA,Potamogeton_x_nitens,Tres_rare,Non_retrouvee,Disparition,NA,NA,"Déjà très rare 2009"
Espece,Tolypella_glomerata,2019,NA,NA,NA,Tolypella_glomerata,NA,Presence,Reobservation,NA,En_danger_Suisse,"Espèce mésotrophile, réobservée 2003"
Espece,Zannichellia_palustris,2019,NA,NA,NA,Zannichellia_palustris,NA,Presence,Progression,NA,Vulnerable_Suisse,"Espèce eutrophile en progression"
Espece,Potamogeton_pusillus,2019,NA,NA,NA,Potamogeton_pusillus,NA,Presence,Regression,NA,Vulnerable_Suisse,"Espèce eutrophile en régression"
Espece,Lagarosiphon_cordofanus,2019,NA,NA,NA,Lagarosiphon_cordofanus,NA,Presence,Nouvelle,NA,Exotique_surveiller,"Autre espèce exotique à surveiller"
Espece,Ulvella_cladophorae,2019,NA,NA,NA,Ulvella_cladophorae,NA,Presence,Nouvelle,NA,NA,"Nouvelle algue Chlorophyte pour France et Suisse"
Espece,Ulvella_bullata,2019,NA,NA,NA,Ulvella_bullata,NA,Presence,Nouvelle,NA,NA,"Nouvelle algue Chlorophyte pour France et Suisse"
Indice,IBML,2019,NA,NA,NA,NA,NA,0.367,Etat_mediocre,NA,NA,"Indice Biologique Macrophytique Lacs (France)"
Indice,LaWa,2019,NA,NA,NA,NA,NA,0.43,Etat_moyen,NA,NA,"Indice LaWa (Allemagne)"
Contexte,Rechauffement,2019,NA,NA,NA,NA,NA,NA,Progressif_depuis_1973,NA,NA,"Impact sur distribution espèces thermophiles"
Contexte,Oligotrophisation,2019,NA,NA,NA,NA,NA,NA,Amelioration_qualite_eaux,NA,NA,"Progression C. denudata = indicateur oligotrophisation"
Contexte,Transparence,2019,NA,NA,NA,NA,NA,NA,Amelioration,NA,NA,"Favorise M. spicatum et P. perfoliatus"
Contexte,Variabilite_spatiotemporelle,2019,NA,NA,NA,NA,NA,NA,Importante,NA,NA,"Herbiers organisés patchs - échantillonnage décennal prudence"
