name,type,material_category,location,municipality,lat_wgs84,lon_wgs84,aquatic,description,source,verification_status,coordinate_change
"PQR Béton SA - La Ballastière","Concrete Plant","Ready-Mix Concrete","Gland","Gland",46.4152,6.2601,FALSE,"Concrete production facility at La Ballastière site, Route de Nyon 48, 1196 Gland. Part of Perrin Groupe. Features Neustark CO2 storage system (300+ tonnes/year capacity). Produces Recystark recycled concrete.","Primary","VERIFIED","~30m - excellent"
"Scierie Zahnd","Sawmill","Timber / Biomass Energy","Rueyres","Rueyres",46.6939,6.6978,FALSE,"Major sawmill in Vaud canton, Chemin De Forchy 10, 1046 Rueyres. Spruce/fir timber from local forests, Enerbois biomass energy facility.","Primary","CORRECTED","~20km - major correction"
"La Forestière - Headquarters","Forestry Cooperative","Timber Distribution","Echandens","Echandens",46.5398,6.5488,FALSE,"Major forestry cooperative, Route de la Chocolatière, 1026 Echandens. Commercialization of local timber from Vaud forests.","Secondary","CORRECTED","~900m adjustment"
"Geneva Lake Extraction Zone","Underwater Gravel","Lake Gravel","Lake Geneva","Multiple Locations",46.4500,6.5000,TRUE,"Historical and current lake gravel extraction from delta deposits, dredging operations. Multiple zones along lake.","Primary","GENERIC","Water zone - no verification"
"Janine Sigrist Atelier","Ceramic Workshop","Ceramics / Porcelain","Etoy","Etoy",46.4850,6.4100,FALSE,"Artisanal ceramic workshop, hand-thrown stoneware and porcelain using local and regional clays.","Secondary","NOT VERIFIED","No specific Google listing"
"Argile et Création","Ceramic Studio","Ceramics / Clay Supply","Vulliens","Vaud",46.6189,6.7925,FALSE,"Ceramic workshop and clay material supplier, Chemin Albert-Louis Chappuis 5, 1085 Vulliens. Pottery courses and artisan production.","Secondary","CORRECTED","~18km - was in wrong location"
"GAM Fonderie","Art Foundry","Bronze / Aluminum Casting","La Sarraz","La Sarraz",46.6538,6.5042,FALSE,"Artisanal art foundry, Chemin de la Condémine 7, 1315 La Sarraz. Bronze and aluminum casting, architectural elements, restoration work.","Secondary","CORRECTED","~850m adjustment"
"Claude Merkli Soufflage de Verre","Glass Workshop","Glass / Borosilicate","Echandens","Echandens",46.5323,6.5394,FALSE,"Glass blowing workshop since 1988, Chemin de Savoie 10, 1026 Echandens. Borosilicate glass artisan production, decorative and functional glassware.","Secondary","VERIFIED","~250m - good"
"Valérie de Roquemaurel","Glass Workshop","Art Glass","Pomy","Pomy",46.7612,6.6614,FALSE,"European glassmaker, Chemin de Clon 24, 1405 Pomy. Artistic glass blowing, trained in Murano, decorative glass art pieces.","Secondary","CORRECTED","~400m adjustment"
"Ralph Kastl Souffleur de Verre","Glass Workshop","Blown Glass","Mont-sur-Lausanne","Le Mont-sur-Lausanne",46.5564,6.6214,FALSE,"Artisanal blown glass workshop, Chemin de la Viane 105, 1052 Le Mont-sur-Lausanne. Decorative glassware and custom pieces.","Secondary","CORRECTED","~1.4km correction"
"Retripa - Centre Crissier","Recycling Center","Paper/Cardboard/Metal/Plastic/Glass","Crissier","Crissier",46.5483,6.5722,FALSE,"Major sorting and recycling facility. Chemin de Mongevon 11, 1023 Crissier. Processes 120,000 tonnes/year paper/cardboard, 12,000 tonnes/year metals, 2,500 tonnes/year plastics, 20,000 tonnes/year glass. Main Vaud hub. Operating since 1956. ISO certified.","Primary","CORRECTED","~700m correction"
"Retripa - Aclens Depot","Depot","Material Transfer Station","Aclens","Aclens",46.5895,6.5310,FALSE,"Material distribution depot and transfer station. Chemin du Coteau 35. Part of Retripa network.","Secondary","NOT VERIFIED","No Google listing"
"Retripa Massongex - Wood Recycling","Wood Recycling Platform","Recycled Wood / Biomass","Massongex","Massongex",46.2444,6.9719,FALSE,"Largest wood recycling platform in Romandie, inaugurated September 2024. Route Des Ilettes 33, 1869 Massongex. Processes 40,000 tonnes/year wood from demolition, pallets, furniture. Produces chipboard particles and biomass energy. 5M CHF investment. Advanced dust collection system.","Primary","CORRECTED","~3.3km correction"
"Compostière du Gros-de-Vaud","Composting Facility","Compost / Soil Amendments","Bettens","Bettens",46.6173,6.5813,FALSE,"Treats 10,000 tonnes/year organic waste from 25+ communes (Cugy, Echallens, Morrens, etc.). Route de Boussens 21, 1042 Bettens. Produces compost, vegetable soil, wood chips. Operating since 2004. 15+ years experience.","Primary","CORRECTED","~8.6km - major correction"
"Compostière de la Rochette","Composting Facility","Compost / Soil Amendments","Bottens","Bottens",46.6237,6.6664,FALSE,"Organic waste treatment and valorization, Le Riondi, 1041 Bottens. Compost and vegetable soil production for agriculture and landscaping. Operated by Ernest Tzaut & Fils SA.","Primary","CORRECTED","~4.3km correction"
"BGS Compost","Composting Facility","Compost / Soil Amendments","Givrins","Givrins",46.4235,6.2150,FALSE,"Treats organic waste from Lake Geneva basin. Route des Mortiers, 1271 Givrins. Member of Biomasse Suisse. Produces bio-certified compost meeting Swiss organic agriculture requirements. Operating since 1996. 5 agricultural/landscaping partners.","Primary","CORRECTED","~4.2km - was in Gland"
"La Compostière La Coulette","Composting Facility","Compost / Soil Amendments","Belmont-Lutry","Belmont-sur-Lausanne",46.5367,6.7078,FALSE,"Organic waste treatment facility, Route de la Cérèce 5, 1092 Belmont-sur-Lausanne. Serving Lausanne-area communes (Paudex, Pully, Lutry, Savigny, Bourg-en-Lavaux, Belmont) since 1994. Compost and vegetable soil products. Open Monday-Saturday 7h-17h45.","Primary","CORRECTED","~2.4km correction"
"Trans-EcoBroyage","Biomass Processing","Wood Chips / Mulch","Vaud","Multiple",46.5500,6.6000,FALSE,"Grinding and processing of green waste, tree trunks. Wood chips (BRF), vegetable soil and topsoil production and delivery. Minimum 0.5m3 orders.","Secondary","GENERIC","Multiple sites"
"SADEC - Côte Vaudoise","Waste Management","Paper/Cardboard Collection","La Côte","Gland",46.4147,6.2626,FALSE,"Waste management for Côte vaudoise region, paper and cardboard collection and coordination. En Vertelin 3, 1196 Gland. Administrative office. Sends materials to Swiss-German paper mills. Services multiple lakeside communes.","Secondary","CORRECTED","~5km from lake - was in water"
"Perlen Papier (External Destination)","Paper Mill","Recycled Paper","Perlen LU","External-Lucerne",47.0800,8.3400,FALSE,"Switzerland's largest paper recycler processing 500,000 tonnes/year waste paper. PM7 machine produces 360,000 tonnes/year newsprint. Vaud's collected paper/cardboard is sent here for processing. Operating since 1800s, PM7 since 2010.","Secondary","EXTERNAL","Outside region"
"GESA - Gravières d'Epeisses","Gravel Pit / Processing","Aggregates / Concrete Materials","Meyrin-Vernier","Meyrin",46.2193,6.0726,FALSE,"Major gravel extraction and processing facility. Route de Satigny 30, 1214 Vernier (main site). Processes 600,000 tonnes/year graviers, bétons, grave routière. Uses AI for flow optimization. Rail-connected. Secondary site: Chemin des Coquelicots 16. Operating 30+ years. Water recycling, eco-concrete production.","Primary","CORRECTED","~1.8km - major correction"
"Retripa - Centre Vernier","Recycling Center","Paper/Cardboard/Metal/Plastic/Glass","Vernier","Vernier",46.2205,6.0804,FALSE,"Geneva canton recycling facility. Chemin de l'Emeraude 5, 1214 Vernier. Part of Retripa network. Sorting and valorization of multiple waste streams. Operating since 1991. ISO certified.","Primary","VERIFIED","~80m - minor"
"SRREC - Société Romande de Recyclage","Construction Waste Recycling","Recycled Aggregates / Concrete","Satigny","Satigny",46.1982,6.0478,FALSE,"Construction demolition waste recycling facility. Route du Bois-de-Bay 115, 1242 Satigny. Joint venture Holcim-Implenia since 2007. Processes 65,000 tonnes/year demolition materials into classified recycled aggregates, sand, gravel. Supplies Geneva market with recycled concrete materials. Advanced processing plant.","Primary","VERIFIED","~60m - excellent"
"Sortera - Ecopôle","Automated Waste Sorting","Multi-Stream Recycling","Satigny","Satigny",46.1994,6.0559,FALSE,"First automated high-performance sorting center in Switzerland. Route du Bois-de-Bay, 1242 Satigny (Zone Industrielle du Bois-de-Bay). Opened 2019. Processes 70,000+ tonnes/year industrial/construction waste. 80% sorting rate (vs 30% previously), 70%+ valorization rate. Robotic sorting, rail-connected. Linked to Sogetri La Praille pre-sorting site (55,000 tonnes/year) via rail.","Primary","CORRECTED","Zone coordinates used"
"RVM - Recycling Valorisation de Matières","Recycling Services","Industrial Waste / Recyclables","Satigny","Satigny",46.2211,6.0509,FALSE,"Waste treatment installation. Route de Satigny 52A, 1242 Satigny. Founded 1987. Collection and recycling services for institutions, industries, craftsmen. Member Recycleurs de Genève. Certified waste treatment facility.","Primary","CORRECTED","~2.6km - major correction"
"Pro Béton - La Praille","Concrete Plant","Ready-Mix Concrete","Geneva-Carouge","Carouge",46.1774,6.1307,FALSE,"Ready-mix concrete production. Route des Jeunes 99, 1227 Carouge (near La Praille). 40 years serving Geneva construction. Produces standard, special, recycled, and low-carbon concrete. Transport and pumping services. Certified SN EN 206.","Primary","CORRECTED","~1.7km correction"
"Pro Béton - Vernier","Concrete Plant","Ready-Mix Concrete","Vernier","Vernier",46.2154,6.1016,FALSE,"Ready-mix concrete production facility. Route de Vernier 130, 1214 Vernier. Part of Pro Béton network. 40 years Geneva market experience. Standard and special concrete production.","Primary","CORRECTED","~2km correction"
"Holcim Geneva Market","Concrete / Aggregates","Recycled Concrete Products","Geneva-Vernier","Vernier",46.2174,6.1006,FALSE,"Geneva market operations using SRREC recycled aggregates. Route de Vernier 140, 1214 Vernier. Supplies recycled concrete (Recybéton) to major projects including Quartier des Vergers, Alto Pont-Rouge. Partner in circular economy initiatives.","Secondary","CORRECTED","Specific facility location"
