station_name,municipality,operator,google_place_id,station_rating,review_text,tags,sentiment
Shell Recharge Puidoux,Puidoux,Shell Recharge,ChIJg1Z7rEEojEcRsVJR36kTbd0,2.0,"Easy to access from the highway, but pricey (0.87 chf/kW) and power of recharge lower than announced (50-70kW vs 130kW).",mentions_transit|payment_friction|positive_experience|speed_mismatch,positive
Shell Recharge Puidoux,Puidoux,Shell Recharge,ChIJg1Z7rEEojEcRsVJR36kTbd0,2.0,Used it several times. Works very well but at 40-70kwh rather than the 300 advertised. And it's expensive!,payment_friction|positive_experience|speed_mismatch,positive
Shell Recharge Puidoux,Puidoux,Shell Recharge,ChIJg1Z7rEEojEcRsVJR36kTbd0,2.0,"Unfortunately, you should never rely on this charging station! It never works, I don't understand why it appears as a charging option on apps. For years we have never been able to charge our car there, despite informing the company several times.",mentions_transit|payment_friction|positive_experience,positive
Shell Recharge Puidoux,Puidoux,Shell Recharge,ChIJg1Z7rEEojEcRsVJR36kTbd0,2.0,Too expensive!! 1.02CHF kw/h is a steal!,payment_friction,negative
Shell Recharge Vevey Guinguette,Vevey,Shell Recharge,ChIJH2T_itKcjkcRn_HtUJ_Qnc0,2.0,"Some users are plugged in without charging their vehicles, but the app doesn't detect it. So when we arrive on site, there's no space.",parking_issues|payment_friction|vampire_car_icing,positive
Migrol Vevey,Vevey,Migrol,ChIJb0r1mtOcjkcR2tbg-yLef9U,5.0,Everything is perfect at this location! The 50 kW is ideal for the location. I arrived with 30% state of charge. I had dinner at a Thai restaurant and left again with 93% SOC. Very straightforward payment options without registration required. I'm very impressed.,dwell_behavior|payment_friction|positive_experience,positive
Plenitude Corseaux,Corseaux,Plenitude,ChIJuSK_VdOCjkcRmo89Y8uGQg8,2.0,Both chargers fail to start charging,broken_phantom,positive
Plenitude Corseaux,Corseaux,Plenitude,ChIJuSK_VdOCjkcRmo89Y8uGQg8,2.0,"It worked for me, however, for the moment it is not compatible with Swisscharge and you need the Eni app in this case.",payment_friction,positive
GreenMotion Montreux,Montreux,GreenMotion,ChIJM11zzgSbjkcReciHrJAloi8,3.0,"Rather reliable, but often busy, even outside of events and rush hours. It's not rare that it's occupied from noon. To the parking management: please add more stations!",mentions_transit|parking_issues|positive_experience|vampire_car_icing,positive
GreenMotion Montreux,Montreux,GreenMotion,ChIJM11zzgSbjkcReciHrJAloi8,3.0,Currently out of service 😡😡,broken_phantom,negative
MOVE Montreux Théâtre,Montreux,MOVE,ChIJRb6EkwObjkcR_PTCxAuR1FM,1.0,"The charging stations are hidden in level 2 of the parking deck. After trying 4-5 times, we couldn't get the station to work.",mentions_transit|parking_issues|wayfinding_hidden,positive
MOVE Montreux Théâtre,Montreux,MOVE,ChIJRb6EkwObjkcR_PTCxAuR1FM,1.0,Doesn't work. Tried 3 times with both chargers.,broken_phantom,negative
MOVE Montreux Théâtre,Montreux,MOVE,ChIJRb6EkwObjkcR_PTCxAuR1FM,1.0,Out of service for months,broken_phantom,negative
evpass Royal Plaza Montreux,Montreux,evpass,ChIJWzQ8hRabjkcRGuIUrjZrh6Q,4.0,"There were three working EvPass charging stations in the Public Parking space at the Plaza. Marked with green floor and within the circling spiral going down on the very first level you reach. Parking was paid at reception, charging by EvPass App. Both 22kW and 7kW chargers.",mentions_transit|parking_issues|payment_friction|wayfinding_hidden,positive
MOVE Montreux Emery,Montreux,MOVE,ChIJwfZYNBebjkcRM9Sj5A6MW7I,1.8,I was unable to charge,broken_phantom,negative
MOVE Montreux Emery,Montreux,MOVE,ChIJwfZYNBebjkcRM9Sj5A6MW7I,1.8,5 terminals in the Palace parking lot... none were in service....,broken_phantom|parking_issues,positive
MOVE Montreux Emery,Montreux,MOVE,ChIJwfZYNBebjkcRM9Sj5A6MW7I,1.8,This charging station does not exist!!!,broken_phantom|mentions_transit,positive
swisscharge Montreux,Montreux,swisscharge,ChIJPbgwjWqbjkcR8OeHFGAZw-A,3.0,"Operational, yet received only 11kW while plugging into the 22kW. Took a long time, I had to stop the charge before my initial fill up target.",speed_mismatch,positive
Shell Recharge Alpes Montreux,Montreux,Shell Recharge,ChIJBUAdqBubjkcR2--Elsja_nU,2.0,"Unfortunately, there was insufficient energy available; it was only charged at 5kW the entire time.",speed_mismatch,positive
Shell Recharge Carlo-Boller,Montreux,Shell Recharge,ChIJnae-vQKbjkcRELBhpamOt28,3.3,Both stations were not working due to system error. QR code was useless as no internet is available in the parking,broken_phantom|mentions_transit|no_connectivity|parking_issues,negative
Shell Recharge Carlo-Boller,Montreux,Shell Recharge,ChIJnae-vQKbjkcRELBhpamOt28,3.3,"Large parking spaces, good charger, unfortunately no reception in the garage (had to go out briefly to start) and one of the two plugs was defective.",broken_phantom|no_connectivity|parking_issues|positive_experience,positive
Shell Recharge Carlo-Boller,Montreux,Shell Recharge,ChIJnae-vQKbjkcRELBhpamOt28,3.3,Great charger. There's a device at the exit where you can easily pay with your card. 22 kWh,dwell_behavior|payment_friction|positive_experience,positive
Tesla Destination Montreux,Montreux,Tesla,ChIJJ6yhURebjkcRSRl-7JPk25M,2.3,Apparently they are unable to charge Polestar 2 and BMW cars (according to the valet parking team),broken_phantom|parking_issues|payment_friction,negative
Tesla Destination Montreux,Montreux,Tesla,ChIJJ6yhURebjkcRSRl-7JPk25M,2.3,"Attention, attention... there is no charger available here.......",,positive
Fastned Montreux Montagne,Montreux,Fastned,ChIJgdLu-R6bjkcRbf_SCrGRtt0,4.0,"Used the 300kW fast charger several times during my stay. Never got more than 125kW out of it though, and sometimes as little as 77kW, so took much longer than expected.",positive_experience|speed_mismatch,positive
Fastned Montreux Montagne,Montreux,Fastned,ChIJgdLu-R6bjkcRbf_SCrGRtt0,4.0,Reliable and with a nice view,dwell_behavior|mentions_view|positive_experience,positive
Fastned Montreux Montagne,Montreux,Fastned,ChIJgdLu-R6bjkcRbf_SCrGRtt0,4.0,"Every time I've come, there have been charging stations available. My charging speed was limited to 65 kWh by the vehicle. The price is reasonable. Payment is easy with a card or an app. Restrooms are nearby.",dwell_behavior|mentions_transit|payment_friction|positive_experience|speed_mismatch,positive
Fastned Montreux Montagne,Montreux,Fastned,ChIJgdLu-R6bjkcRbf_SCrGRtt0,4.0,"Great charging station, with enough space to even accommodate a truck! The only thing missing is a vending machine with coffee or snacks to complete the experience.",dwell_behavior|mentions_transit|parking_issues|positive_experience,positive
Fastned Montreux Montagne,Montreux,Fastned,ChIJgdLu-R6bjkcRbf_SCrGRtt0,4.0,"Supposedly a 300kW fast charger, but in reality it's more like 90-120kW. However, they haven't hesitated to raise their prices since January 2025!",payment_friction|positive_experience|speed_mismatch,positive
Fastned Montreux Lac,Montreux,Fastned,ChIJj0Njhx6bjkcRKKkreCNU4w0,4.5,"Possible to charge with dedicated card and with credit cards. Nicely placed on highway but not much going on here, one snack bar but it was closed. Up to 300 kwh charging speed.",dwell_behavior|mentions_transit,positive
Fastned Montreux Lac,Montreux,Fastned,ChIJj0Njhx6bjkcRKKkreCNU4w0,4.5,"Autocharge worked seamlessly, excellent fast charger. Minimal facilities, toilet block and a fast food unit. Set just off the main road, but with excellent views of the lake and nearby mountains. Nice setting to stretch the legs while a quick charge top-up before heading over the mountains.",dwell_behavior|mentions_view|positive_experience,positive
Fastned Montreux Lac,Montreux,Fastned,ChIJj0Njhx6bjkcRKKkreCNU4w0,4.5,I haven't seen a charging station with a better view yet. Almost worth a trip :),dwell_behavior|mentions_transit|mentions_view,positive
Fastned Montreux Lac,Montreux,Fastned,ChIJj0Njhx6bjkcRKKkreCNU4w0,4.5,"Advertised at 300kW, only 33kW available. What a rip-off.",speed_mismatch,negative
Shell Recharge Noville,Noville,Shell Recharge,ChIJaw9TcieajkcRJzl5VprQrus,2.8,Works great. Easy payment. Charges fast.,dwell_behavior|payment_friction|positive_experience,positive
Shell Recharge Noville,Noville,Shell Recharge,ChIJaw9TcieajkcRJzl5VprQrus,2.8,"It's maxing out at 74 kW, perhaps because both lots are charging at the same time so it would mean the 160 kW is split.",,positive
Shell Recharge Noville,Noville,Shell Recharge,ChIJaw9TcieajkcRJzl5VprQrus,2.8,"It worked for me with my MER card. Tamoil gas station. You can easily pass the time with the restaurants and shops nearby. Unfortunately, the charging process stopped at 80%.",dwell_behavior|mentions_transit,positive
Shell Recharge Noville,Noville,Shell Recharge,ChIJaw9TcieajkcRJzl5VprQrus,2.8,"I had to press the emergency stop button first, after which it worked for two minutes, then started again, and after about four minutes I stopped charging. So be careful when planning this station.",mentions_transit,positive
Shell Recharge Noville,Noville,Shell Recharge,ChIJaw9TcieajkcRJzl5VprQrus,2.8,Both pumps are out of order. The parking spaces are so inconvenient that parking a car is an art. The whole area looks very neglected.,parking_issues|safety_environment,negative
eCarUp Villeneuve,Villeneuve,eCarUp,ChIJLftlYlSbjkcR43oawOpjRwU,2.0,"It worked perfectly. Used QR code and paid via the browser link. No problem at all. First connect to the car, then authorize payment via credit card.",no_connectivity|payment_friction|positive_experience,positive
eCarUp Villeneuve,Villeneuve,eCarUp,ChIJLftlYlSbjkcR43oawOpjRwU,2.0,"Technically, the charging stations seem to be working, but after entering all the data, the message 'The charging process cannot be started.' It's a shame.",mentions_transit,negative
eCarUp Villeneuve,Villeneuve,eCarUp,ChIJLftlYlSbjkcR43oawOpjRwU,2.0,"Two parking spaces, one indicated as broken, the second which is supposed to work is not broken!",broken_phantom|parking_issues,positive
eCarUp Villeneuve,Villeneuve,eCarUp,ChIJLftlYlSbjkcR43oawOpjRwU,2.0,"No. It didn't work today, February 28, 2025!",broken_phantom,positive
swisscharge Rennaz,Rennaz,swisscharge,ChIJz4DtpSCajkcR_hRWd4Y7nWc,1.0,"well, i only come by every 5 or 6 months, but this is at least the second time this metal recycling pile hasn't worked :-(",positive_experience,positive
swisscharge Rennaz,Rennaz,swisscharge,ChIJz4DtpSCajkcR_hRWd4Y7nWc,1.0,There are only 4 charging stations in the entire parking lot; it would be nice if at least they were working…,mentions_transit|parking_issues,positive
Migrol Noville,Noville,Migrol,ChIJw3f1sN2bjkcRWgwzDqeHzUw,3.8,I tried starting the charge 4 times. It failed 4 times. It booked 50 chf per each charge. So now I'm 200chf down and still not charged. This is my first ever bad review!,broken_phantom|dwell_behavior|mentions_view|payment_friction,positive
Migrol Noville,Noville,Migrol,ChIJw3f1sN2bjkcRWgwzDqeHzUw,3.8,"Charging completed successfully. The charging station delivers the expected power. Easy to use and payment via app, Twint, or card is possible.",mentions_transit|payment_friction|positive_experience,positive
Migrol Noville,Noville,Migrol,ChIJw3f1sN2bjkcRWgwzDqeHzUw,3.8,Excellent station for fast charging 👍,mentions_transit|positive_experience,positive
Mobility Riponne,Lausanne,Mobility,ChIJ4ZOVjkUujEcR5Z0r16uAndY,5.0,Super 🤩  🚘,,positive
Mobility CHUV,Lausanne,Mobility,ChIJ4ZOVjkUujEcRvN08SBAxlNQ,5.0,"What a beautiful location! I felt such satisfaction driving past this magnificent spot in my Renault ZOE, a spot I had painstakingly negotiated with the CHUV management several years ago.",positive_experience,positive
Mobility Dapples,Lausanne,Mobility,ChIJOc8VIiwvjEcRW06uXfh945k,5.0,"Mobility Point with 4 parking spaces, located a 2-minute walk from the M2 metro station (Grancy stop) and 7 minutes from the train station. If you are coming directly from Lausanne train station, it's best to walk; you'll save time.",dwell_behavior|mentions_transit|parking_issues|safety_environment,positive
Tesla Supercharger Saint-Julien,Saint-Julien-en-Genevois,Tesla,ChIJQ6L4voJ7jEcRnDxNx-kw1xY,4.5,Charger is just fine as usual with Tesla. The restaurant next to the charger is a farce. Only open to gamble and not to eat. Skip if you can.,dwell_behavior|parking_issues,positive
Tesla Supercharger Saint-Julien,Saint-Julien-en-Genevois,Tesla,ChIJQ6L4voJ7jEcRnDxNx-kw1xY,4.5,"Right next to the highway, many spots, no complaints.",mentions_transit,positive
Tesla Supercharger Saint-Julien,Saint-Julien-en-Genevois,Tesla,ChIJQ6L4voJ7jEcRnDxNx-kw1xY,4.5,Charger near a casino or a restaurant always booked that only opens from 12… so people with children cannot get any food. This location is plain stupid. Perfect for those who like to play some poker while the car is charging.,dwell_behavior|positive_experience,positive
Tesla Supercharger Saint-Julien,Saint-Julien-en-Genevois,Tesla,ChIJQ6L4voJ7jEcRnDxNx-kw1xY,4.5,"Easy to find, close from Geneva and highway!",mentions_transit|positive_experience|wayfinding_hidden,positive
eCarUp Saint-Légier,Saint-Légier,eCarUp,ChIJR9ghgUeDjkcR-OGAIokNLEQ,2.5,"No issues, need to download app and add payment.",payment_friction,positive
eCarUp Saint-Légier,Saint-Légier,eCarUp,ChIJR9ghgUeDjkcR-OGAIokNLEQ,2.5,"Didn't charge, have mobilize charge card. It was 1845, pathetic…",,negative
