place_name,municipality,place_type,google_place_id,review_text,tags,is_work_relevant,sentiment
Bibliothèque de Genève,Genève,library,ChIJ7d-efitljEcR72qhtiF6JRA,"They have various places to study or read, the staff is very kind and the whole library is very clean and free to visit.",mentions_study|work_relevant,True,positive
Bibliothèque de Genève,Genève,library,ChIJ7d-efitljEcR72qhtiF6JRA,This breathtakingly beautiful library mixes the old world charm with modern amenities. Fantastic place to study. The great reading room is open till 10 pm on weekdays. Staffs are helpful and online catalogue of books and articles are a true gem.,mentions_study|work_relevant,True,positive
Bibliothèque de Genève,Genève,library,ChIJ7d-efitljEcR72qhtiF6JRA,"Beautiful library, with great greenery outside. Truly peaceful place to focus.",work_relevant,True,positive
Vicky's Coffee,Genève,café,ChIJ8-_0UTdljEcRwW_2seA7A4M,"A gem in Eaux-Vives! Cozy and refined atmosphere is the perfect mix to linger, whether for work, lunch, an afternoon pick-me-up, or a chat with friends.",work_relevant,True,positive
Café Express Tea Room,Genève,café,ChIJT-CGE4dljEcR1xAKXaeDV2c,A nice place. Sitting outside is perfect for reading a book or working.,work_relevant,True,positive
Regus Versoix Station Lakeside,Versoix,coworking,ChIJe9qWFXtmjEcRlvPhInEKfNM,"This is my 3rd office space in the Geneva area, and by far the best. The office consists of people from all over, it's very close to the train station, shopping, dining there's even a gym across the road.",mentions_community|mentions_transit|work_relevant,True,positive
Regus Versoix Station Lakeside,Versoix,coworking,ChIJe9qWFXtmjEcRlvPhInEKfNM,"Wonderful place to work from, we can see the mountains, the offices are cosy, modern and comfortable.",mentions_lake_nature|work_relevant,True,positive
Voisins de Collex-Bossy,Collex-Bossy,coworking,ChIJ7cJ4KLlljEcR9RhehjJ5fAo,"Superb coworking center, in the Geneva countryside, magnificent, functional place, perfect for working! Parking spaces are two minutes away.",mentions_lake_nature|work_relevant,True,positive
Voisins de Collex-Bossy,Collex-Bossy,coworking,ChIJ7cJ4KLlljEcR9RhehjJ5fAo,"Perfect coworking space for small and medium-sized businesses, associations, and subsidiaries of large groups. Just 5 minutes from Geneva International Airport.",mentions_transit|pain_point|work_relevant,True,positive
ATELIER 9 Coworking Nyon,Nyon,coworking,ChIJ414lnjxDjEcRo48LBF7Jkuc,"Atelier 9 is hands down one of the best co-working spaces I've come across between Geneva and Lausanne. Nestled in the upper part of Nyon, just a stone's throw from the castle, it offers a fantastic range of top-tier services at a very reasonable price.",work_relevant,True,positive
ATELIER 9 Coworking Nyon,Nyon,coworking,ChIJ414lnjxDjEcRo48LBF7Jkuc,"Having moved from London to Nyon and needing a professional, comfortable and clean environment to work from I found and signed up to Atelier 9. The centrally located facilities have fast internet, free beverages, privacy booths and monitors to link up with your laptop. Best part is the community who are friendly and amiable. Highly recommend for entrepreneurs and hybrid workers.",mentions_community|mentions_devices|mentions_study|mentions_transit|mentions_wifi|work_relevant,True,positive
ATELIER 9 Coworking Nyon,Nyon,coworking,ChIJ414lnjxDjEcRo48LBF7Jkuc,Very unique and elegant yet simple design. Fantastic atmosphere to work. Centrally located with access to beautiful lake front view and next to an excellent cafe with outdoor seating that is also great to relax or work at.,mentions_lake_nature|mentions_study|mentions_transit|work_relevant,True,positive
Café Ex Machina,Nyon,café,ChIJtakUEdlCjEcR_ae20B1hspA,Modern hipster cafe with excellent flat white. Good value for money at CHF5.20.,,False,positive
Café Jayko,Nyon,café,ChIJB68498RDjEcRCM9FQuKbaZI,Very nice place near the train station to chill.,mentions_transit,False,positive
PepperHub Gland,Gland,coworking,ChIJd2d9GORFjEcRhsKCpbiGG0E,"Nice, spacious, pleasant, and quiet place! Just steps from the station!",mentions_noise|mentions_transit|work_relevant,True,positive
Ichibani Coworking Rolle,Rolle,coworking,ChIJyRiYfs1FjEcR6oJ_LaiDLng,"Excellent welcome, easy access, and the coworking and office space is truly designed for deep work or collaborative work.",work_relevant,True,positive
Uluwatu House Rolle,Rolle,café,ChIJH6j8cSxHjEcRq73vxsAG3gg,Want the best coffee for about 20km? This is the place to go. Nice place to sit outside and watch the world go by.,,False,positive
Society Coworking Morges,Morges,coworking,ChIJSdbNoyI3jEcRJGN0uU4dRew,"Definitely the coworking place to be. 1 min walk to the lake, friendly atmosphere, free food, bikes, paddle surf, quiet, clean, serious and nice. The most invaluable is definitely the people there.",mentions_community|mentions_lake_nature|mentions_noise|work_relevant,True,positive
Society Coworking Morges,Morges,coworking,ChIJSdbNoyI3jEcRJGN0uU4dRew,"Large, well-appointed space ideal for work and, when necessary, relaxation. Just a stone's throw from the lake for a lunch break or an early morning arrival via the docks with the rising sun.",mentions_lake_nature|work_relevant,True,positive
lykke Bar Café Boutique,Morges,café,ChIJPyiwYRQ3jEcRe1cb06Cnpkc,Very nice and cute café in the center. A very cozy atmosphere ideal for meeting with friends or studying. The spacious back room was an ideal study spot.,mentions_study|work_relevant,True,positive
KO-LAB,Morges,café,ChIJTeHOXqA3jEcRlrqMEJTEu24,Hands down the best specialty coffee in Morges. Cozy atmosphere and friendly service.,,False,positive
Bibliothèque publique de Morges,Morges,library,ChIJVfTpsxU3jEcRLfBO5934hFQ,"You can connect to the Wi-Fi, surf the web, and print for 10 cents per copy.",mentions_wifi|work_relevant,True,positive
Regus Préverenges,Préverenges,coworking,ChIJo5RsOwQ3jEcRiHyxF1sx-sw,This one is my favorite center! Lovely interior design and super friendly environment. The terrace is definitely a cool place to enjoy. Always a good place to network with like minded people.,mentions_community|work_relevant,True,positive
Regus Préverenges,Préverenges,coworking,ChIJo5RsOwQ3jEcRiHyxF1sx-sw,"Very welcoming staff, quiet place to work. Can only recommend it!",mentions_noise|work_relevant,True,positive
Regus Lausanne Main Station,Lausanne,coworking,ChIJsayjABsvjEcRBAvyPmvMP8Q,I love working here when I'm working from home. It is central and has comfortable chairs and spaces to work from. I can work from home from many different cities and countries - I can only recommend Regus and its offices in Lausanne gare.,mentions_transit|work_relevant,True,positive
Regus Lausanne Main Station,Lausanne,coworking,ChIJsayjABsvjEcRBAvyPmvMP8Q,"The location is super central, making it easy to access by public transport. The working environment is quiet and professional.",mentions_noise|mentions_transit|work_relevant,True,positive
Regus Lausanne Main Station,Lausanne,coworking,ChIJsayjABsvjEcRBAvyPmvMP8Q,"Great place to work at! Very conveniently located by the main train station. A wide range of office spaces for different uses, and a large open space which is usually quiet. Open space plan is very affordable.",mentions_noise|mentions_transit|work_relevant,True,positive
Gotham Lausanne Gare,Lausanne,coworking,ChIJl1qTxcwvjEcRPRGD7etwhGQ,"Great place for start ups. Kind helpful staff, nice office, trendy decor, ecofriendly, great location.",work_relevant,True,positive
Gotham Lausanne Gare,Lausanne,coworking,ChIJl1qTxcwvjEcRPRGD7etwhGQ,"I have worked at the Gotham Co-working space since it opened. The location is perfect - just 2 minutes walk from the Lausanne train station. I also love the interior design, and how it's been designed to function as a co-working hub and a meeting point, but also has quieter areas that are noise-free and private.",mentions_noise|mentions_transit|pain_point|work_relevant,True,positive
Gotham Lausanne Gare,Lausanne,coworking,ChIJl1qTxcwvjEcRPRGD7etwhGQ,"Space of innovative productivity, close to the train station. Interesting people and free Wi-Fi. Still need some sort of standing desks in the open space though!",mentions_community|mentions_transit|mentions_wifi|work_relevant,True,positive
Powerhouse,Lausanne,coworking,ChIJFc489oIvjEcRjhoGZ-Vs07w,"The place to meet in Lausanne central! Super close to the station. Perfect for meetings of all kinds. The atmosphere is friendly and welcoming. And, the coffee is excellent!",mentions_transit|work_relevant,True,positive
Powerhouse,Lausanne,coworking,ChIJFc489oIvjEcRjhoGZ-Vs07w,"Great location right in the heart of Lausanne. The rooms are ideal for isolated or group work, with ambient lighting, beamers, presentation screens, super-fast internet connection.",mentions_devices|mentions_wifi|pain_point|work_relevant,True,positive
Gotham Lausanne Flon,Lausanne,coworking,ChIJddLJOIUvjEcRFgm5skN3PZ4,"Great location in Flon. Great place, very welcoming and offering services for all types of workers!",work_relevant,True,positive
Gotham Lausanne Flon,Lausanne,coworking,ChIJddLJOIUvjEcRFgm5skN3PZ4,GSM connection is virtually non-existent in the building.,pain_point,False,negative
Do It Better Coworking,Lausanne,coworking,ChIJuYtj2zEujEcR_RF5RvTXAlU,"The premises are very spacious and well prepared for work. Inside you have access to almost unlimited space, resting room.",work_relevant,True,positive
T19 Bi Coworking,Lausanne,coworking,ChIJT-lT_9QxjEcRj_lNjpJrUrA,"I wanted to find a coworking space that is friendly, with a professional but non-sterile environment. T19 is like a family to me now.",work_relevant,True,positive
T19 Bi Coworking,Lausanne,coworking,ChIJT-lT_9QxjEcRj_lNjpJrUrA,Best place to work in Lausanne. And the fiber helps a lot!,mentions_wifi|work_relevant,True,positive
T19 Bi Coworking,Lausanne,coworking,ChIJT-lT_9QxjEcRj_lNjpJrUrA,"A large, welcoming and beautifully decorated office. The space is equipped with a kitchen, so you can prepare your lunch on-site. The space is quiet and easily accessible by metro.",mentions_noise|mentions_transit|work_relevant,True,positive
Coworking de la Madeleine,Lausanne,coworking,ChIJnW3ONdMvjEcRXqweqW0o5x8,"Great space. You cannot get any more central. The offices have enormous windows with natural light, and in addition to the working spaces, it has two additional communal spaces, one for eating and hanging out with a kitchen, and another for conference calls or meetings.",mentions_transit|work_relevant,True,positive
Coworking de la Madeleine,Lausanne,coworking,ChIJnW3ONdMvjEcRXqweqW0o5x8,"Super cozy coworking space and one of the best deals in Lausanne, extremely well located in the center. Meeting room, separate kitchen. Perfect.",work_relevant,True,positive
Regus Lausanne City Flon,Lausanne,coworking,ChIJVZRplC0ujEcR4Q4bgkJ47U4,Super easy to get to with public transportation. Nice amenities like free tea and fruit. The lounge is small and cramped. There is no privacy and no ability to make a call without the whole room hearing it.,mentions_transit|pain_point|work_relevant,True,negative
Impact Hub Lausanne,Lausanne,coworking,ChIJezs83SgujEcRC45AdS3zOuY,"This is, by far, the best co-working space in the city! Always has welcoming and helpful staff. Always puts on interesting and varied events on themes of sustainability, innovation, and social impact.",mentions_community|work_relevant,True,positive
Impact Hub Lausanne,Lausanne,coworking,ChIJezs83SgujEcRC45AdS3zOuY,"So much more than a coworking space! Impact Hub Lausanne is a community, a support system, plenty of networking opportunities, incubation programs and a great location to host events and meetings.",mentions_community|mentions_study|work_relevant,True,positive
Tchalo Work Lounge,Lausanne,coworking,ChIJJ50NWTMvjEcRSfU36Z6L4Ds,"This place is amazing! Beautifully decorated, clean, well stocked, well lit, relaxed and spacious. Easy online and onboarding/booking process. Lausanne's best co-working secret! Just 10 min from the train station.",mentions_transit|work_relevant,True,positive
Tchalo Work Lounge,Lausanne,coworking,ChIJJ50NWTMvjEcRSfU36Z6L4Ds,"A beautiful and incredibly inspiring coworking space! We were able to set up our video editing suite in the meeting room for two months. The best features are the complimentary coffee/tea, the kitchenette, and the super-fast Wi-Fi.",mentions_wifi|work_relevant,True,positive
Ordinary Man Coffee,Lausanne,café,ChIJvRD1ClIvjEcR3bBROcHlxnA,"New favorite spot in town! Perfect atmosphere, great for getting some work done. Open-air seating is comfortable and quiet enough to read, catch up with friends, or get some work done.",mentions_noise|work_relevant,True,positive
Ça Passe Crème,Lausanne,café,ChIJwwgZAj8vjEcRpBWp4kUVYBg,Hands down the best coffee in Switzerland! A perfect spot for anyone who appreciates exceptional coffee.,,False,positive
Coffee Shop Sleepy Bear,Lausanne,café,ChIJFaJJA80vjEcRtg9rWGE_mXg,"The place is nice and cozy. You have plugs if you want to stay in and work. The music is nice, helps you not get bored and stay focused.",mentions_power|work_relevant,True,positive
Coffee Shop Sleepy Bear,Lausanne,café,ChIJFaJJA80vjEcRtg9rWGE_mXg,Sleepy Bear Coffee was the first specialty coffee shop in Lausanne. It is a very cosy café. The service and the hospitality level is truly outstanding.,,False,positive
Coffee Shop Sleepy Bear,Lausanne,café,ChIJFaJJA80vjEcRtg9rWGE_mXg,Little coffee shop serving good coffee. I went there to study a bit for uni. Quite expensive 5.50 CHF for a cappuccino.,mentions_study|pain_point|work_relevant,True,positive
Bel-Air Coffee,Lausanne,café,ChIJ9bwfJxgvjEcRIuMse2sNH1s,"THE hidden gem specialty coffee shop in Lausanne. Perfectly central location, yet quiet. The perfect place for a quick and well-balanced coffee while sending off that last email of the day.",mentions_noise|mentions_transit|work_relevant,True,positive
Bold Coffee,Lausanne,café,ChIJ1UDumHYvjEcRDmoo7h698gA,Nice coffee with outdoor seating. The coffee is very good. Kind and smiley service and a nice vibe inside.,,False,positive
Bibliothèques de Lausanne Chauderon,Lausanne,library,ChIJ636Jsy4ujEcRK8usuSXm37w,"Huge selection of books. There is a dedicated quiet-zone space to read, study or work with Wifi.",mentions_noise|mentions_study|mentions_wifi|work_relevant,True,positive
BCU Lausanne (Unithèque),Lausanne,library,ChIJL1blCDEujEcRrSTuhxnJ9oM,"Small library, nice place to work. A few desk tables available. Great natural light.",pain_point|work_relevant,True,positive
BCU Lausanne (Unithèque),Lausanne,library,ChIJL1blCDEujEcRrSTuhxnJ9oM,Friendly staff and very quiet place to read and study.,mentions_noise|mentions_study|work_relevant,True,positive
Pully-coworking,Pully,coworking,ChIJJR7T5LEvjEcRYy1YiJ7EgsA,Essential in Pully. Deserves to be known.,,False,positive
Rush Coffee Lutry,Lutry,café,ChIJR_jphREvjEcRNcdZF3kgx9E,"A lovely coffee shop in Lutry with excellent coffee and service. Small, but perfectly formed.",pain_point,False,positive
Café culturel OZarts,Lutry,café,ChIJhTRpzTwvjEcRksk435OHcyU,"A lovely cafe with soft and familial atmosphere, with paintings, kids laughing and people playing chess!",mentions_community,False,positive
TheWorkHub Vevey,Vevey,coworking,ChIJ83KY6dScjkcRMdR7ZYSysY4,"The perfect place for work meetings. I spent two days here with ten colleagues. Great meeting rooms and facilities, a very warm welcome from staff and excellent food at lunchtime. The afterwork excursion in the vineyards was absolutely great.",work_relevant,True,positive
TheWorkHub Vevey,Vevey,coworking,ChIJ83KY6dScjkcRMdR7ZYSysY4,A truly international community in the center of Vevey. The space is placed very close to the rail station and provides complete facilities for working. There is a nice view towards the mountains.,mentions_community|mentions_lake_nature|mentions_study|mentions_transit|work_relevant,True,positive
TheWorkHub Vevey,Vevey,coworking,ChIJ83KY6dScjkcRMdR7ZYSysY4,"Very nice co-working in the city center of Vevey. Lovely people, fast internet and free coffee. All you need for a great day of work!",mentions_community|mentions_wifi|work_relevant,True,positive
Office Hub Vevey,Vevey,coworking,ChIJ4Y_JouqdjkcRH8REkm13snE,A unique experience in a very pleasant and enriching working environment thanks to the sharing of knowledge with all the co-workers.,mentions_study|work_relevant,True,positive
Eleven Coffee Vevey,Vevey,café,ChIJz14rZ2-djkcRDBbgdkq5OP4,"Firstly, my warm vegan matcha latte was divine. The matcha powder was high-quality and the milk was nicely frothed.",,False,positive
Café La Belle Epoque,Vevey,café,ChIJAyO7d-SdjkcRBY7ISxzhEMU,"Walked in and asked for wifi and the owner gave me, even before I ordered.",mentions_wifi|work_relevant,True,positive
Bibliothèque municipale Vevey,Vevey,library,ChIJJ-ncy8-cjkcRBDyZE5XY4fM,"Good place to study, with convenient working hours.",mentions_study|work_relevant,True,positive
Coworking Montreux,Montreux,coworking,ChIJYeZJMRebjkcRxXJ1EwX43j4,"Beautifully designed coworking space, conveniently located next to the train station. Lots of light and all the amenities you might be looking in a place alike.",mentions_transit|work_relevant,True,positive
Coworking Montreux,Montreux,coworking,ChIJYeZJMRebjkcRxXJ1EwX43j4,"Beautiful, bright, modern workspace in a fantastic location, literally on the platform of Montreux train station and a 2-minute walk from the lake.",mentions_lake_nature|mentions_transit|work_relevant,True,positive
Five Coworking Montreux,Montreux,coworking,ChIJnRc4ckybjkcR9FdqA42RNtI,"I had a positive experience at this coworking space. The space is well-designed, comfortable, and provides an excellent environment for focus and productivity.",work_relevant,True,positive
Sleepy Bear Coffee Montreux,Montreux,café,ChIJcY6nOAKbjkcRCbLUM2IT6Ms,Sleepy Bear Café is conveniently located just a two-minute walk from the train station. Really enjoyed the coffee here.,mentions_transit,False,positive
Bibliothèque Montreux-Veytaux,Montreux,library,ChIJnVTWRBqbjkcRgIM4jKdVA3U,"Exceptional service at this local public library. From the moment you walk through the doors, the staff greets you with a friendly smile. Very inclusive and supportive environment.",,False,positive
Bibliothèque Montreux-Veytaux,Montreux,library,ChIJnVTWRBqbjkcRgIM4jKdVA3U,"If you're a student or adult looking for a quiet place to work, you'll find yourself far from the stereotypical library where silence is golden.",mentions_noise|mentions_study|work_relevant,True,positive
Restaurant l'Oasis Villeneuve,Villeneuve,café,ChIJbRsHyTuajkcRy2b0RfsyspI,We enjoy coming here. We especially enjoy sitting on their covered pier looking out over Lac Léman.,,False,positive
